company_Name,domain,server,ip_address,organization,MX1,MX2
Elemental Machines,elementalmachines.io,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
CrowdStreet,crowdstreet.com,cloudflare,104.21.34.162,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Syzygy Plasmonics,plasmonics.tech,Netlify,75.2.60.5,"AS16509 Amazon.com, Inc.",1 plasmonics-tech.mail.protection.outlook.com.,
Fountain,fountain.com,cloudflare,104.18.19.164,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Cognoa,cognoa.com,cloudflare,141.193.213.21,"AS209242 Cloudflare London, LLC",10 cognoa-com.mail.protection.outlook.com.,
Treez,treez.io,Vercel,76.76.21.21,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
AutoLeadStar,autoleadstar.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Tellius,tellius.com,Pagely-ARES/1.10.28,35.168.216.102,"AS14618 Amazon.com, Inc.",0 tellius-com.mail.protection.outlook.com.,
Talos,talos.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Hone,honehq.com,cloudflare,104.26.5.140,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Tecton,tecton.ai,cloudflare,141.193.213.11,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
DataGrail,datagrail.io,cloudflare,141.193.213.10,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
CG Oncology,coldgenesys.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Glean,glean.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Fathom Health,fathomhealth.com,,76.223.27.102,"AS16509 Amazon.com, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Stairwell,stairwell.com,cloudflare,172.67.156.7,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Apploi,apploi.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Jetti Resources,jettiresources.com,nginx,18.169.245.167,"AS16509 Amazon.com, Inc.",0 jettiresources-com.mail.protection.outlook.com.,
Rokid,rokid.ai,cloudflare,141.193.213.10,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
MedCrypt,medcrypt.co,,52.11.45.250,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Neocis,neocisinc.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Front,frontapp.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
MBX Biosciences,mbxbio.com,cloudflare,162.159.134.42,"AS13335 Cloudflare, Inc.",0 mbxbio-com.mail.protection.outlook.com.,
Biofourmis,biofourmis.com,,52.11.45.250,"AS16509 Amazon.com, Inc.",0 biofourmis-com.mail.protection.outlook.com.,100 mx1-us1.ppe-hosted.com.
Semperis,semperis.com,,,AS24940 Hetzner Online GmbH,0 semperis-com.mail.protection.outlook.com.,
Emalex Biosciences,emalexbiosciences.com,Apache/2.4.56 (Debian),173.254.216.4,AS8100 QuadraNet Enterprises LLC,10 us-smtp-inbound-1.mimecast.com.,10 us-smtp-inbound-2.mimecast.com.
Swift Navigation,swiftnav.com,Cowboy,52.204.242.176,"AS14618 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
ConcertAI,concertohealthai.com,,,AS24940 Hetzner Online GmbH,0 concertohealthai-com.mail.protection.outlook.com.,
Arcadia,arcadia.com,Netlify,34.83.23.240,AS396982 Google LLC,10 mxa-0075dc01.gslb.pphosted.com.,10 mxb-0075dc01.gslb.pphosted.com.
Prime Trust,primetrust.com,Netlify,35.199.181.187,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Resilia,resilia.com,Squarespace,198.49.23.144,"AS53831 Squarespace, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Securiti,securiti.ai,cloudflare,172.67.68.185,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Particle Health,particlehealth.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Kriya Therapeutics,kriyatherapeutics.com,cloudflare,104.21.63.119,"AS13335 Cloudflare, Inc.",10 us-smtp-inbound-1.mimecast.com.,10 us-smtp-inbound-2.mimecast.com.
Logiwa,logiwa.com,nginx,35.199.32.25,AS396982 Google LLC,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Aisera,aisera.com,cloudflare,141.193.213.10,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
SpinLaunch,spinlaunch.com,,,AS24940 Hetzner Online GmbH,1 barracuda.spinlaunch.com.,
Pie Insurance,pieinsurance.com,cloudflare,141.193.213.10,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Yellow Card,yellowcard.io,cloudflare,104.18.0.88,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Firework,fireworkhq.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Golden,golden.co,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Subtle Medical,subtlemedical.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Finexio,finexio.com,,52.25.204.60,"AS16509 Amazon.com, Inc.",0 finexio-com.mail.protection.outlook.com.,
Fortanix,fortanix.com,CloudFront,18.161.6.35,"AS16509 Amazon.com, Inc.",0 fortanix-com.mail.protection.outlook.com.,
Infinitum Electric,infinitumelectric.com,,,AS24940 Hetzner Online GmbH,0 d274889a.ess.barracudanetworks.com.,10 d274889b.ess.barracudanetworks.com.
JupiterOne,jupiterone.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
ClassDojo,classdojo.com,AmazonS3,18.161.6.99,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
NeuroFlow,neuroflow.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
VUZ,360vuz.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Astronomer,astronomer.io,Netlify,34.83.11.4,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Hint Health,hint.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Zip,ziphq.com,,52.11.45.250,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Resilience,resilence.com,nginx,104.247.82.53,AS206834 Team Internet AG,5 mail.h-email.net.,
SubjectWell,subjectwell.com,Flywheel/5.1.0,151.101.2.159,"AS54113 Fastly, Inc.",0 subjectwell-com.mail.protection.outlook.com.,
Tibit Communications,tibitcom.com,nginx,35.247.81.19,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Alto Neuroscience,altoneuroscience.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Mesh Payments,meshpayments.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Expel,expel.com,nginx,35.173.74.67,"AS14618 Amazon.com, Inc.",10 mxa-002ea001.gslb.pphosted.com.,10 mxb-002ea001.gslb.pphosted.com.
Meati,meati.com,GatsbyHosting,199.232.198.22,"AS54113 Fastly, Inc.",0 mx1-us1.ppe-hosted.com.,10 mx2-us1.ppe-hosted.com.
Brave,brave.com,AmazonS3,18.172.170.4,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Swimlane,swimlane.com,cloudflare,104.26.2.130,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
HackerRank,hackerrank.com,nginx,2.19.143.98,"AS16625 Akamai Technologies, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Akash Systems,akashsystemsinc.com,,,AS24940 Hetzner Online GmbH,10 alt1.gmr-smtp-in.l.google.com.,20 alt2.gmr-smtp-in.l.google.com.
WorkSpan,workspan.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Owkin,owkin.com,Netlify,75.2.60.5,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Soli Organic,soliorganic.com,cloudflare,162.159.135.42,"AS13335 Cloudflare, Inc.",0 soliorganic-com.mail.protection.outlook.com.,
Patch Technologies,patch.io,,52.25.204.60,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Jiko,jiko.io,Netlify,104.198.14.52,AS396982 Google LLC,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Digits,digits.com,,34.95.92.107,AS396982 Google LLC,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
PowerToFly,powertofly.com,,18.161.6.90,"AS16509 Amazon.com, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
tray.io,tray.io,,204.246.191.53,"AS16509 Amazon.com, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Tive,tive.com,,52.25.204.60,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Solid,solidfi.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",0 mx1-us1.ppe-hosted.com.,5 mx2-us1.ppe-hosted.com.
Span.IO,span.io,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.googlemail.com.
Newfront,newfront.com,Vercel,76.76.21.98,"AS16509 Amazon.com, Inc.",0 newfront-com.mail.protection.outlook.com.,
Center,getcenter.com,nginx,23.185.0.3,"AS54113 Fastly, Inc.",0 getcenter-com.mail.protection.outlook.com.,
HYCU,hycu.com,,151.139.128.10,"AS20446 StackPath, LLC.",10 hycu-com.mail.protection.outlook.com.,
Maven Clinic,mavenclinic.com,nginx,34.134.226.239,AS396982 Google LLC,10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Arize AI,arize.com,cloudflare,162.159.135.42,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
ZeroAvia,zeroavia.com,,199.15.163.128,AS58182 Wix.com Ltd.,1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.
Teleport,goteleport.com,cloudflare,104.18.6.23,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Cellarity,cellarity.com,Sucuri/Cloudproxy,192.124.249.106,AS30148 Sucuri,10 us-smtp-inbound-1.mimecast.com.,10 us-smtp-inbound-2.mimecast.com.
Flueid,flueid.com,AmazonS3,99.84.66.4,"AS16509 Amazon.com, Inc.",0 flueid-com.mail.protection.outlook.com.,
Wonder,wonder.com,Squarespace,198.49.23.145,"AS53831 Squarespace, Inc.",10 us-smtp-inbound-1.mimecast.com.,10 us-smtp-inbound-2.mimecast.com.
Brightline,emiliohealth.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.
Casma Therapeutics,casmatx.com,nginx,104.196.53.7,AS396982 Google LLC,10 us-smtp-inbound-1.mimecast.com.,20 us-smtp-inbound-2.mimecast.com.
0x,0xproject.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Stable,stableprice.com,Squarespace,198.185.159.144,"AS53831 Squarespace, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Bravado,bravado.co,cloudflare,172.67.36.201,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
AssemblyAI,assemblyai.com,Netlify,34.168.30.71,AS396982 Google LLC,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Arthur AI,arthur.ai,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Hex Technologies,hex.tech,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Empatica,empatica.com,Netlify,35.199.181.187,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Electric Hydrogen,eh2.com,cloudflare,141.193.213.21,"AS209242 Cloudflare London, LLC",10 us-smtp-inbound-1.mimecast.com.,10 us-smtp-inbound-2.mimecast.com.
Spotnana Technology,spotnana.com,cloudflare,141.193.213.11,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
OneSignal,onesignal.com,cloudflare,104.18.215.59,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Moxion Power,moxionpower.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Narmi,narmi.com,,52.11.45.250,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Unravel Data,unraveldata.com,cloudflare,172.67.24.134,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Firefly Aerospace,fireflyspace.com,cloudflare,141.193.213.20,"AS209242 Cloudflare London, LLC",0 fireflyspace-com.mail.protection.outlook.com.,
TheGuarantors,theguarantors.com,Vercel,76.76.21.142,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Clear Street,clearstreet.io,,52.11.45.250,"AS16509 Amazon.com, Inc.",1 us-smtp-inbound-1.mimecast.com.,5 us-smtp-inbound-2.mimecast.com.
Kneron,kneron.us,,,AS24940 Hetzner Online GmbH,0 kneron-us.mail.protection.outlook.com.,
Velocity Global,velocityglobal.com,cloudflare,104.26.5.134,"AS13335 Cloudflare, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Magic Spoon,magicspoon.com,cloudflare,23.227.38.32,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Taranis,taranis.ag,,,AS24940 Hetzner Online GmbH,10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Filevine,filevine.com,nginx/1.24.0,44.236.166.116,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Brave Health,bebravehealth.com,,,AS24940 Hetzner Online GmbH,10 bebravehealth-com.inbound.emailservice.io.,20 bebravehealth-com.inbound.emailservice.cc.
Hello Heart,helloheart.com,,52.25.204.60,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Bevi,bevi.co,cloudflare,141.193.213.20,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Strike,strike.me,Netlify,147.75.40.150,"AS54825 Packet Host, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Kojo,usekojo.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
TRM Labs,trmlabs.com,,52.11.45.250,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Pulley,pulley.com,,34.102.133.158,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
AngelList Talent,gmail.com,,,AS24940 Hetzner Online GmbH,10 alt1.gmail-smtp-in.l.google.com.,20 alt2.gmail-smtp-in.l.google.com.
Ordr,ordr.net,cloudflare,141.193.213.11,"AS209242 Cloudflare London, LLC",0 ordr-net.mail.protection.outlook.com.,
HopSkipDrive,hopskipdrive.com,cloudflare,199.60.103.30,"AS209242 Cloudflare London, LLC",0 d268573a.ess.barracudanetworks.com.,10 d268573b.ess.barracudanetworks.com.
Brightseed,brightseedbio.com,Vercel,76.76.21.21,"AS16509 Amazon.com, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Cleerly,cleerly.co,openresty/1.13.6.1,45.33.2.79,AS63949 Akamai Connected Cloud,1 mail.mailerhost.net.,
Middesk,middesk.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Zerion,zerion.io,cloudflare,104.26.10.68,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Digital Diagnostics,digitaldiagnostics.com,,,AS24940 Hetzner Online GmbH,0 digitaldiagnostics-com.mail.protection.outlook.com.,
Clarify Health Solutions,clarifyhealth.com,cloudflare,172.67.97.163,"AS13335 Cloudflare, Inc.",0 clarifyhealth-com.mail.protection.outlook.com.,0 embeddedhc-com.mail.protection.outlook.com.
Tienda Pago,tiendapago.com,Apache,107.180.28.81,"AS26496 GoDaddy.com, LLC",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Sesame,sesamecare.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Tomorrow Health,tomorrowhealth.com,,52.11.45.250,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Breezeway,breezeway.io,cloudflare,199.60.103.226,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Vivun,vivun.com,cloudflare,162.159.134.42,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Atom Power,atompower.com,,199.15.163.148,AS58182 Wix.com Ltd.,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Trace,traceup.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Alation,alation.com,nginx,104.198.2.56,AS396982 Google LLC,1 aspmx.l.google.com.,2 alt2.aspmx.l.google.com.
Gotham Greens,gothamgreens.com,nginx,35.223.172.190,AS396982 Google LLC,10 d255390a.ess.barracudanetworks.com.,30 d255390b.ess.barracudanetworks.com.
PicnicHealth,picnichealth.com,cloudflare,104.26.7.164,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Connectbase,connected2fiber.com,,,AS24940 Hetzner Online GmbH,10 connected2fiber-com.mail.protection.outlook.com.,
Ethic,ethicinvesting.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
LogRocket,logrocket.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Obsidian Security,obsidiansecurity.com,nginx,35.202.211.50,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Boulevard,joinblvd.com,,18.161.6.123,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Data.world,data.world,,151.101.2.133,"AS54113 Fastly, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Underdog Fantasy,underdogfantasy.com,Google Frontend,151.101.66.132,"AS54113 Fastly, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Impact Analytics,impactanalytics.co,cloudflare,104.18.22.43,"AS13335 Cloudflare, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Courier,courier.com,Vercel,76.76.21.21,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Bicycle Health,bicyclehealth.com,cloudflare,104.22.17.179,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Federated Wireless,federatedwireless.com,cloudflare,104.22.71.155,"AS13335 Cloudflare, Inc.",10 us-smtp-inbound-1.mimecast.com.,
Qualified.com,qualified.com,nginx,3.226.232.232,"AS14618 Amazon.com, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Lilt,lilt.com,,35.190.15.33,AS15169 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
